id,Producto,CAL
0,acelga,1
1,aguacate,2
2,ajo,3
3,albaricoque,4
4,alcachofa,5
5,apio,6
6,batata,7
7,berenjena,8
8,BROCOLI,9
9,calabacin,10
10,calabaza,11
11,cardo,12
12,caqui,13
13,cebolla,14
14,cereza,15
15,champinon,16
16,col-china,17
17,col,18
18,col-de-bruselas,19
19,coliflor,20
20,endibia,21
21,esparrago,22
22,espinaca,23
23,frambuesa,24
24,fresa,25
25,guisante,26
26,haba,27
27,higo,28
28,judia,29
29,kiwi,30
30,lechuga,31
31,limon,32
32,lima,33
33,maiz,34
34,mandarina,35
35,manzana,36
36,melocoton,37
37,melon,38
38,mora,39
39,nabo,40
40,naranja,41
41,nectarina,42
42,papaya,43
43,patata,44
44,pepino,45
45,pera,46
46,pimiento,47
47,pina,48
48,platano,49
49,pomelo,50
50,puerro,51
51,rabano,52
52,remolacha,53
53,sandia,54
54,tomate,55
55,uva,56
56,zanahoria,57