ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,Y,Y,X,X,X,,,,,,,
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,,X,X,,,,,
4,ALBARICOQUE,,,,,,,X,,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,,X,X,,,
9,BRÃ“COLI,,,,,,,,,,,,
10,CALABACIN,,,,,,,X,X,X,X,,
11,CABALAZA,,,,,,,,,,X,X,
12,CARDO,,,,,,,,,,,,
13,CAQUI,X,,,,,,,,,,,X
14,CEBOLLA,,,,,Y,Y,X,X,,,,
15,CEREZA,,,,,Y,X,,,,,,
16,CHAMPINON,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COMUN,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,,,,,,,,,,,,
21,ENDIBIA,,,,,,,,,,,,
22,ESPARRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,,,,,
24,FRAMBUESA,,,,,,,,,,,,
25,FRESA,,,,,Y,X,X,,,,,
26,GUISANTE,,Y,X,X,,,,,,,,
27,HABA,,Y,X,X,,,,,,,,
28,HIGO,,,,,,Y,X,X,X,,,
29,JUDIA,,,,,,,,,,,,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,,,,,,,,,,,,
32,LIMON,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,,,,,,,
37,MELOCOTON,,,,,,,X,X,,,,
38,MELON,,,,,,,,,,,,
39,MORA,,,X,,,Y,X,,,,,
40,NABO,,,,,,,,,,,,
41,NARANJA,X,X,X,Y,Y,Y,,,,,Y,Y
42,NECTARINA,,,,,,,X,X,,,,
43,PAPAYA,,,,,,,,,,,,
44,PATATA,,,,Y,Y,X,X,,,,,
45,PEPINO,,,,,,,,,,,,
46,PERA,,,,,,,,,,,,
47,PIMIENTO,,,,,,,,,,,,
48,PINA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,,,,,,,,,,,,
52,RABANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
54,SANDIA,,,,,,,,,,,,
55,TOMATE,,,,,,,Y,X,X,Y,,
56,UVA,,,,,,,,Y,X,X,,
57,ZANAHORIA,,,,,,,,,,,,
