YEAR;TIPO;product;unit;S 1;S 2;S 3;S 4;S 5;S 6;S 7;S 8;S 9;S 10;S 11;S 12;S 13;S 14;S 15;S 16;S 17;S 18;S 19;S 20;S 21;S 22;S 23;S 24;S 25;S 26;S 27;S 28;S 29;S 30;S 31;S 32;S 33;S 34;S 35;S 36;S 37;S 38;S 39;S 40;S 41;S 42;S 43;S 44;S 45;S 46;S 47;S 48;S 49;S 50;S 51;S 52
2017;origen;Patata ;kg;0.25;0.26;0.26;0.26;0.27;0.27;0.28;0.28;0.31;0.38;0.42;0.58;0.43;0.51;0.54;0.58;0.58;0.52;0.43;0.38;0.36;0.34;0.3;0.23;0.22;0.18;0.21;0.18;;;;;;;;;;;;;;;;;;;;;;;;
2017;mercado;Patata;kg;0.39;0.4;0.4;0.41;0.4;0.4;0.4;0.4;0.45;0.47;0.46;0.48;0.49;0.5;0.52;0.52;0.52;0.51;0.52;0.49;0.48;0.38;0.38;0.36;0.34;0.33;0.32;0.32;;;;;;;;;;;;;;;;;;;;;;;;
2017;consumo;Patata;kg;1.06;1.06;1.06;1.05;1.05;1.05;1.05;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.07;1.06;1.06;1.07;1.07;1.07;1.07;1.06;1.06;1.05;1.05;1.05;1.04;1.04;;;;;;;;;;;;;;;;;;;;;;;;
2016;origen;Patata ;kg;0.19;0.19;0.19;0.19;0.19;0.21;0.21;0.21;0.26;0.31;0.32;0.42;0.43;0.58;0.53;0.47;0.46;0.48;0.56;0.41;0.36;0.39;0.33;0.34;0.36;0.39;0.37;0.35;0.35;0.34;0.33;0.33;0.33;0.34;0.32;0.32;0.32;0.29;0.28;0.28;0.25;0.22;0.21;0.23;0.22;0.22;0.23;0.26;0.28;0.28;0.27;0.27
2016;mercado;Patata;kg;0.38;0.38;0.38;0.39;0.39;0.39;0.39;0.39;0.43;0.44;0.43;0.41;0.43;0.45;0.47;0.47;0.47;0.46;0.51;0.54;0.53;0.52;0.51;0.5;0.5;0.52;0.51;0.53;0.52;0.52;0.46;0.46;0.44;0.5;0.47;0.45;0.47;0.45;0.45;0.43;0.42;0.4;0.4;0.4;0.4;0.4;0.4;0.39;0.39;0.38;0.38;0.38
2016;consumo;Patata;kg;0.96;0.98;0.98;0.97;0.98;0.98;0.98;0.99;0.99;0.99;0.99;0.99;1;1;1;1;1.01;1.01;1.01;1.03;1.04;1.04;1.05;1.05;1.06;1.06;1.05;1.05;1.06;1.05;1.06;1.06;1.06;1.06;1.06;1.06;1.06;1.05;1.05;1.06;1.06;1.06;1.07;1.07;1.06;1.05;1.05;1.06;1.05;1.06;1.06;1.06
2015;origen;Patata ;kg;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.09;0.14;0.18;0.24;0.45;0.5;0.47;0.46;0.43;0.42;0.37;0.33;0.31;0.28;0.26;0.26;0.28;0.25;0.23;0.28;0.22;0.23;0.21;0.17;0.17;0.18;0.17;0.18;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.2;0.2;0.2;0.2;0.22;0.22;0.22;0.22;0.22
2015;mercado;Patata;kg;0.23;0.23;0.23;0.23;0.24;0.23;0.25;0.23;0.28;0.3;0.28;0.31;0.3;0.3;0.32;0.32;0.34;0.37;0.38;0.39;0.39;0.4;0.4;0.37;0.37;0.35;0.32;0.31;0.31;0.28;0.29;0.3;0.29;0.3;0.31;0.31;0.34;0.35;0.36;0.34;0.35;0.38;0.38;0.37;0.4;0.39;0.39;0.39;0.38;0.39;0.4;0.4
2015;consumo;Patata;kg;0.88;0.88;0.88;0.89;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.87;0.88;0.88;0.87;0.88;0.88;0.88;0.89;0.89;0.89;0.9;0.92;0.92;0.92;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.93;0.93;0.93;0.93;0.94;0.94;0.93;0.93;0.94;0.94;0.94;0.95;0.96;0.96;0.96;0.96;0.96;0.96
2014;origen;Patata ;kg;0.18;0.18;0.18;0.19;0.18;0.18;0.18;0.18;0.18;0.33;0.36;0.34;0.31;0.46;0.47;0.45;0.42;0.34;0.26;0.24;0.25;0.2;0.21;0.2;0.18;0.19;0.28;0.29;0.24;0.2;0.2;0.12;0.13;0.13;0.12;0.11;0.11;0.11;0.1;0.09;0.07;0.09;0.07;0.07;0.1;0.1;0.09;0.09;0.09;0.09;0.09;0.09
2014;mercado;Patata;kg;0.39;0.41;0.42;0.42;0.4;0.35;0.37;0.36;0.33;0.34;0.33;0.36;0.36;0.36;0.35;0.36;0.35;0.33;0.31;0.3;0.28;0.26;0.26;0.25;0.26;0.28;0.31;0.3;0.29;0.27;0.26;0.26;0.25;0.24;0.25;0.23;0.24;0.25;0.25;0.23;0.22;0.21;0.22;0.22;0.21;0.24;0.21;0.23;0.23;0.22;0.23;0.22
2014;consumo;Patata;kg;1.04;1.04;1.02;1.02;1.01;1.01;1.01;1;1.01;1;1;1;1;1.01;1;1;1;0.99;0.99;0.98;0.98;0.97;0.96;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.94;0.93;0.93;0.92;0.91;0.9;0.9;0.89;0.89;0.88;0.88;0.87;0.86;0.86;0.86;0.87;0.87;0.88;0.88;0.88;0.88