Aguacates	kg	6,74	5,12	4,02	5,12	-0,05	5,14	4,99	3,07
Albaricoques	kg	3,16	2,70	2,35	2,71	-0,35	2,67		
Bananas	kg	1,54	1,22	0,92	1,21	0,56	1,24	1,27	-2,40
Cerezas comunes	kg	5,32	4,95	4,60	4,95	0,10	4,96	4,41	12,50
Chirimoyas	kg	4,31	3,25	2,40	3,77	-16,00	3,76	4,28	-12,27
Ciruelas claudias	kg	4,11	2,91	1,91	2,81	3,46	2,89	3,11	-7,20
Ciruelas comunes	kg	3,48	1,94	1,14	1,95	-0,56	1,95	2,04	-4,46
Fresón	kg	7,21	5,32	3,92	5,35	-0,59	5,31	5,19	2,41
Higos	kg	5,50	4,41	3,49	4,40	0,06	4,38	4,59	-4,57
Kiwis	kg	5,74	3,86	2,18	3,79	1,77	3,81	3,64	4,63
Limones	kg	3,27	2,32	1,55	2,31	0,20	2,32	2,26	2,65
Mandarinas Clementinas	kg	3,43	2,67	2,03	2,70	-0,91	2,68	2,43	10,28
Mandarinas comunes	kg	3,39	2,58	2,01	2,70	-4,77	2,70	3,00	-9,87
Manzanas comunes	kg	2,97	1,90	1,25	1,92	-0,91	1,91	1,90	0,72
Manzanas Golden	kg	2,87	1,79	0,90	1,79	-0,42	1,79	1,78	0,26
Manzanas roja	kg	2,98	2,01	1,18	2,02	-0,45	2,01	2,07	-2,74
Melocotones comunes	kg	2,45	1,58	1,10	1,61	-1,69	1,60	1,76	-8,99
Melocotones de carne blanda	kg	2,64	1,70	1,07	1,76	-3,57	1,73	1,80	-4,39
Melocotones de carne dura	kg	4,27	2,39	1,37	2,35	1,70	2,35	2,32	1,19
Melones comunes	kg	2,48	1,37	0,59	1,32	3,47	1,33	1,27	5,11
Naranjas tipo Navel	kg	2,92	1,89	1,03	1,84	2,60	1,85	1,68	9,73
Nectarinas	kg	2,60	1,64	1,02	1,65	-0,59	1,65	1,73	-4,87
Paraguayas	kg	2,62	1,69	1,16	1,66	1,71	1,67	1,79	-6,85
Peras agua o blanquilla	kg	2,84	2,01	1,42	2,03	-1,37	2,05	2,01	1,70
Peras comunes	kg	2,50	1,71	1,17	1,71	0,00	1,72	1,86	-7,90
Peras conferencia	kg	2,87	1,97	1,15	2,01	-2,06	2,00	2,03	-1,52
Peras Ercolina	kg	3,57	2,28	1,46	2,30	-1,04	2,29	2,42	-5,48
Peras Limonera	kg	3,04	1,82	1,29	1,83	-0,59	1,84	1,91	-4,00
Piñas	kg	3,41	1,94	1,22	1,97	-1,19	1,95	1,91	1,86
Platanos de Canarias	kg	2,87	1,98	1,15	2,01	-1,40	1,99	2,02	-1,14
Pomelos	kg	2,85	2,17	1,66	2,17	0,02	2,16	2,17	-0,04
Sandías	kg	1,50	0,80	0,42	0,78	2,21	0,79	0,78	1,12
Uvas comunes	kg	4,14	2,61	1,44	2,66	-1,71	2,67	3,21	-16,83
Uvas Moscatel	kg	4,03	3,19	2,29	3,22	-0,86	3,31	3,46	-4,24