,producto,fecha,pais,transporte,Ton,tipo,Percent
113,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Portugal,Carretera,16098.15,import,0.07687453717762287
121,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Bélgica,Carretera,37.41,import,0.00017864639326971554
122,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Bélgica,Carretera,58.0,import,0.00027697115235614814
123,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Bélgica,Carretera,264.68,import,0.0012639435276831947
124,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Bélgica,Carretera,633.64,import,0.0030258620858439607
125,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Bélgica,Carretera,1174.68,import,0.005609525400857244
134,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Austria,Carretera,4.18,import,1.996102442842585e-05
137,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Austria,Carretera,19.58,import,9.350164074367898e-05
145,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Estonia,Carretera,0.25,import,1.1938411739489144e-06
158,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Lituania,Carretera,1.8,import,8.595656452432184e-06
169,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Polonia,Carretera,96.97,import,0.0004630671145513049
170,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Polonia,Carretera,112.1,import,0.0005353183823986932
171,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Polonia,Carretera,551.24,import,0.0026323720349103984
172,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Polonia,Carretera,1684.8,import,0.008045534439476525
173,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Polonia,Carretera,1837.93,import,0.008776786035343714
183,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Eslovaquia,Carretera,0.93,import,4.4410891670899624e-06
194,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Albania,Carretera,21.13,import,0.00010090345602216224
209,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Ucrania,Carretera,18.72,import,8.939482710529471e-05
217,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Eslovenia,Carretera,5.44,import,2.597798394512838e-05
218,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Eslovenia,Carretera,7.13,import,3.404835028102304e-05
229,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Marruecos,Marítimo,5261.77,import,0.025126870695396722
230,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Marruecos,Marítimo,4254.8,import,0.020318221707671367
231,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Marruecos,Marítimo,2344.36,import,0.01119517397823551
232,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Marruecos,Marítimo,756.62,import,0.0036131364361329105
233,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Marruecos,Marítimo,941.89,import,0.004497868253322972
235,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Marruecos,Carretera,222.0,import,0.001060130962466636
236,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Marruecos,Carretera,242.6,import,0.0011585034752000266
237,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Marruecos,Carretera,235.57,import,0.0011249326613885832
238,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Marruecos,Carretera,51.66,import,0.0002466953401848037
239,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Marruecos,Carretera,69.88,import,0.00033370248494220056
241,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Marruecos,Propulsión propia,18.03,import,8.609982546519571e-05
253,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Egipto,Carretera,8.04,import,3.839393215419708e-05
268,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Costa de Marfil,Carretera,0.59,import,2.817465170519438e-06
280,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Camerún,Carretera,6.1,import,2.912972464435351e-05
292,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Sudáfrica,Carretera,39.6,import,0.00018910444195350805
293,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Sudáfrica,Carretera,415.8,import,0.0019855966405118346
303,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, México,Carretera,19.8,import,9.455222097675402e-05
305,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, México,Carretera,4.1,import,1.9578995252762197e-05
313,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Colombia,Carretera,0.08,import,3.8202917566365266e-07
314,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Colombia,Carretera,0.07,import,3.342755287056961e-07
315,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Colombia,Carretera,0.07,import,3.342755287056961e-07
317,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Colombia,Carretera,0.02,import,9.550729391591316e-08
327,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Ecuador,Carretera,1.44,import,6.876525161945747e-06
329,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Ecuador,Carretera,20.97,import,0.00010013939767083494
338,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Líbano,Carretera,0.09,import,4.297828226216092e-07
339,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Líbano,Carretera,0.12,import,5.730437634954789e-07
341,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Líbano,Carretera,0.02,import,9.550729391591316e-08
25,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Francia,Carretera,746.16,import,0.003563186121414888
26,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Francia,Carretera,169.15,import,0.0008077529382938355
27,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Francia,Carretera,808.79,import,0.00386226721231257
28,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Francia,Carretera,662.56,import,0.0031639656328463707
29,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Francia,Carretera,447.76,import,0.0021382172961894636
37,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Países Bajos,Carretera,7056.96,import,0.033699557643642124
38,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Países Bajos,Carretera,5921.32,import,0.028276462480508743
39,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Países Bajos,Carretera,994.51,import,0.00474914794361574
40,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Países Bajos,Carretera,3028.88,import,0.014464006619801552
41,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Países Bajos,Carretera,1335.37,import,0.006376878753824647
49,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Alemania,Carretera,553.04,import,0.0026409676913628304
50,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Alemania,Carretera,484.79,import,0.002315049050874777
51,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Alemania,Carretera,552.63,import,0.002639009791837554
52,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Alemania,Carretera,74.59,import,0.00035619445265939814
53,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Alemania,Carretera,1.52,import,7.2585543376094e-06
63,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Italia,Marítimo,4.21,import,2.010428536929972e-05
65,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Italia,Marítimo,3.7,import,1.7668849374443935e-05
67,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Italia,Carretera,11.14,import,5.3197562711163634e-05
68,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Italia,Carretera,15.08,import,7.201249961259853e-05
69,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Italia,Carretera,19.23,import,9.18302631001505e-05
70,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Italia,Carretera,32.7,import,0.00015615442555251804
71,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Italia,Carretera,15.2,import,7.2585543376094e-05
79,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Reino Unido,Carretera,9.08,import,4.336031143782458e-05
80,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Reino Unido,Carretera,67.93,import,0.0003243905237853991
81,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Reino Unido,Carretera,166.68,import,0.0007959577874952203
82,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Reino Unido,Carretera,0.54,import,2.5786969357296553e-06
83,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Reino Unido,Carretera,6.44,import,3.075334864092404e-05
91,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Dinamarca,Carretera,1.03,import,4.918625636669528e-06
92,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Dinamarca,Carretera,0.21,import,1.0028265861170882e-06
93,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Dinamarca,Carretera,113.97,import,0.0005442483143798311
103,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Portugal,Marítimo,80.32,import,0.0003835572923663072
106,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Portugal,Marítimo,17.09,import,8.161098265114779e-05
109,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Portugal,Carretera,3295.38,import,0.015736641311231096
110,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Portugal,Carretera,3687.14,import,0.017607438184456002
111,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Portugal,Carretera,363.29,import,0.0017348422403356046
112,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Portugal,Carretera,1118.02,import,0.0053389532371934615
113,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Portugal,Carretera,218.9,import,0.0010453273319096694
121,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Bélgica,Carretera,915.05,import,0.004369697464887816
122,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Bélgica,Carretera,1026.95,import,0.004904060774347351
123,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Bélgica,Carretera,18.44,import,8.805772499047194e-05
124,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Bélgica,Carretera,220.84,import,0.001054591539419513
125,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Bélgica,Carretera,89.07,import,0.0004253417334545192
134,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Suecia,Carretera,0.41,import,1.9578995252762198e-06
145,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Austria,Carretera,0.02,import,9.550729391591316e-08
159,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Lituania,Carretera,0.3,import,1.4326094087386973e-06
160,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Lituania,Carretera,0.47,import,2.244421407023959e-06
169,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Polonia,Carretera,60.19,import,0.0002874292010399406
170,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Polonia,Carretera,1143.06,import,0.005458528369176184
171,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Polonia,Carretera,0.14,import,6.685510574113922e-07
172,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Polonia,Carretera,122.72,import,0.0005860327554680432
183,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, República Checa,Carretera,0.6,import,2.8652188174773946e-06
184,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, República Checa,Carretera,0.12,import,5.730437634954789e-07
185,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, República Checa,Carretera,19.8,import,9.455222097675402e-05
194,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Ucrania,Carretera,17.92,import,8.55745353486582e-05
207,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Eslovenia,Carretera,4.5,import,2.148914113108046e-05
208,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Eslovenia,Carretera,2.53,import,1.2081672680363013e-05
209,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Eslovenia,Carretera,12.16,import,5.80684347008752e-05
218,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Croacia,Carretera,4.15,import,1.9817763487551982e-05
229,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Marruecos,Marítimo,941.73,import,0.004497104194971645
230,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Marruecos,Marítimo,1071.25,import,0.005115609430371098
231,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Marruecos,Marítimo,5080.41,import,0.024260810554167216
232,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Marruecos,Marítimo,1140.44,import,0.0054460169136732
233,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Marruecos,Marítimo,2144.47,import,0.010240626329192913
235,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Marruecos,Carretera,56.73,import,0.0002709064391924877
236,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Marruecos,Carretera,51.92,import,0.0002479369350057106
237,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Marruecos,Carretera,307.38,import,0.0014678516001936693
238,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Marruecos,Carretera,126.66,import,0.000604847692369478
239,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Marruecos,Carretera,64.24,import,0.00030676942805791304
248,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Costa de Marfil,Carretera,59.4,import,0.0002836566629302621
259,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Sudáfrica,Carretera,19.8,import,9.455222097675402e-05
262,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Sudáfrica,Carretera,19.8,import,9.455222097675402e-05
275,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, México,Carretera,0.91,import,4.3455818731740485e-06
284,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Costa Rica,Carretera,17.64,import,8.42374332338354e-05
295,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Colombia,Carretera,0.14,import,6.685510574113922e-07
297,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Colombia,Carretera,0.36,import,1.7191312904864368e-06
299,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Colombia,Carretera,0.17,import,8.118119982852619e-07
307,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Ecuador,Carretera,6.86,import,3.2759001813158215e-05
319,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Perú,Carretera,1.08,import,5.157393871459311e-06
323,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Perú,Carretera,21.43,import,0.00010233606543090095
331,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Líbano,Carretera,0.04,import,1.9101458783182633e-07
332,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Líbano,Carretera,0.1,import,4.775364695795658e-07
335,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Líbano,Carretera,0.02,import,9.550729391591316e-08
344,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, China,Carretera,13.09,import,6.250952386796516e-05
358,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Nueva Zelanda,Carretera,4.62,import,2.206218489457594e-05
370,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Países y territorios no determinados.Intraco.,Marítimo,0.05,import,2.387682347897829e-07
13,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Francia,Carretera,962.73,import,0.0045973868535833535
14,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Francia,Carretera,677.39,import,0.0032347842912850205
19,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Países Bajos,Carretera,119.85,import,0.0005723274587911096
20,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Países Bajos,Carretera,281.11,import,0.0013424027696351175
25,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Alemania,Carretera,2.11,import,1.0076019508128838e-05
26,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Alemania,Carretera,2.12,import,1.0123773155086795e-05
32,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Italia,Marítimo,0.59,import,2.817465170519438e-06
34,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Italia,Carretera,18.67,import,8.915605887050495e-05
35,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Italia,Carretera,6.17,import,2.946400017305921e-05
40,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Reino Unido,Carretera,0.41,import,1.9578995252762198e-06
41,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Reino Unido,Carretera,11.02,import,5.2624518947668146e-05
46,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Grecia,Carretera,6.3,import,3.0084797583512644e-05
47,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Grecia,Carretera,3.1,import,1.480363055696654e-05
52,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Portugal,Carretera,173.59,import,0.0008289555575431682
53,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Portugal,Carretera,168.55,import,0.0008048877194763582
58,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Bélgica,Carretera,3.48,import,1.661826914136889e-05
59,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Bélgica,Carretera,28.23,import,0.00013480854536231142
64,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Austria,Carretera,4.1,import,1.9578995252762197e-05
70,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Polonia,Carretera,21.39,import,0.00010214505084306913
76,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Eslovenia,Carretera,0.9,import,4.297828226216092e-06
77,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Eslovenia,Carretera,6.76,import,3.2281465343578644e-05
82,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Marruecos,Marítimo,5519.82,import,0.026359153555146786
83,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Marruecos,Marítimo,4269.88,import,0.020390234207283964
85,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Marruecos,Carretera,355.6,import,0.001698119685824936
86,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Marruecos,Carretera,199.4,import,0.0009522077203416542
91,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Egipto,Carretera,58.5,import,0.00027935883470404596
98,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Colombia,Carretera,0.12,import,5.730437634954789e-07
