,Provincia,Variable,Cantidad,Unit
0,A Coruña,1-I a 31-V,121,S-ha
1,Lugo,1-I a 31-V,4,S-ha
2,Ourense,1-I a 31-V,4,S-ha
3,Pontevedra,1-I a 31-V,16,S-ha
4,Asturias,1-I a 31-V,0,S-ha
5,Cantabria,1-I a 31-V,0,S-ha
6,Araba/Álava,1-I a 31-V,1,S-ha
7,Gipuzkoa,1-I a 31-V,5,S-ha
8,Bizkaia,1-I a 31-V,0,S-ha
9,Navarra,1-I a 31-V,0,S-ha
10,La Rioja,1-I a 31-V,0,S-ha
11,Huesca,1-I a 31-V,0,S-ha
12,Teruel,1-I a 31-V,0,S-ha
13,Zaragoza,1-I a 31-V,0,S-ha
14,Barcelona,1-I a 31-V,30,S-ha
15,Girona,1-I a 31-V,29,S-ha
16,Lleida,1-I a 31-V,0,S-ha
17,Tarragona,1-I a 31-V,8,S-ha
18,Illes Balears,1-I a 31-V,43,S-ha
19,Ávila,1-I a 31-V,0,S-ha
20,Burgos,1-I a 31-V,0,S-ha
21,León,1-I a 31-V,0,S-ha
22,Palencia,1-I a 31-V,0,S-ha
23,Salamanca,1-I a 31-V,0,S-ha
24,Segovia,1-I a 31-V,0,S-ha
25,Soria,1-I a 31-V,0,S-ha
26,Valladolid,1-I a 31-V,0,S-ha
27,Zamora,1-I a 31-V,0,S-ha
28,Madrid,1-I a 31-V,1,S-ha
29,Albacete,1-I a 31-V,0,S-ha
30,Ciudad Real,1-I a 31-V,0,S-ha
31,Cuenca,1-I a 31-V,0,S-ha
32,Guadalajara,1-I a 31-V,0,S-ha
33,Toledo,1-I a 31-V,0,S-ha
34,Alacant/Alicante,1-I a 31-V,141,S-ha
35,Castellón/Castelló,1-I a 31-V,60,S-ha
36,Valencia/València,1-I a 31-V,10,S-ha
37,Murcia,1-I a 31-V,921,S-ha
38,Badajoz,1-I a 31-V,0,S-ha
39,Cáceres,1-I a 31-V,0,S-ha
40,Almería,1-I a 31-V,7000,S-ha
41,Cádiz,1-I a 31-V,370,S-ha
42,Córdoba,1-I a 31-V,0,S-ha
43,Granada,1-I a 31-V,1324,S-ha
44,Huelva,1-I a 31-V,15,S-ha
45,Jaén,1-I a 31-V,0,S-ha
46,Málaga,1-I a 31-V,372,S-ha
47,Sevilla,1-I a 31-V,45,S-ha
48,Ceuta,1-I a 31-V,0,S-ha
49,Melilla,1-I a 31-V,0,S-ha
50,A Coruña,1-I a 31-V,1397,P-t
51,Lugo,1-I a 31-V,357,P-t
52,Ourense,1-I a 31-V,401,P-t
53,Pontevedra,1-I a 31-V,1254,P-t
54,Asturias,1-I a 31-V,0,P-t
55,Cantabria,1-I a 31-V,0,P-t
56,Araba/Álava,1-I a 31-V,50,P-t
57,Gipuzkoa,1-I a 31-V,286,P-t
58,Bizkaia,1-I a 31-V,0,P-t
59,Navarra,1-I a 31-V,0,P-t
60,La Rioja,1-I a 31-V,0,P-t
61,Huesca,1-I a 31-V,0,P-t
62,Teruel,1-I a 31-V,0,P-t
63,Zaragoza,1-I a 31-V,0,P-t
64,Barcelona,1-I a 31-V,1667,P-t
65,Girona,1-I a 31-V,1049,P-t
66,Lleida,1-I a 31-V,0,P-t
67,Tarragona,1-I a 31-V,560,P-t
68,Illes Balears,1-I a 31-V,1603,P-t
69,Ávila,1-I a 31-V,0,P-t
70,Burgos,1-I a 31-V,0,P-t
71,León,1-I a 31-V,0,P-t
72,Palencia,1-I a 31-V,0,P-t
73,Salamanca,1-I a 31-V,0,P-t
74,Segovia,1-I a 31-V,0,P-t
75,Soria,1-I a 31-V,0,P-t
76,Valladolid,1-I a 31-V,0,P-t
77,Zamora,1-I a 31-V,0,P-t
78,Madrid,1-I a 31-V,93,P-t
79,Albacete,1-I a 31-V,0,P-t
80,Ciudad Real,1-I a 31-V,0,P-t
81,Cuenca,1-I a 31-V,0,P-t
82,Guadalajara,1-I a 31-V,0,P-t
83,Toledo,1-I a 31-V,0,P-t
84,Alacant/Alicante,1-I a 31-V,11280,P-t
85,Castellón/Castelló,1-I a 31-V,1882,P-t
86,Valencia/València,1-I a 31-V,590,P-t
87,Murcia,1-I a 31-V,115052,P-t
88,Badajoz,1-I a 31-V,0,P-t
89,Cáceres,1-I a 31-V,0,P-t
90,Almería,1-I a 31-V,659787,P-t
91,Cádiz,1-I a 31-V,13323,P-t
92,Córdoba,1-I a 31-V,0,P-t
93,Granada,1-I a 31-V,134337,P-t
94,Huelva,1-I a 31-V,525,P-t
95,Jaén,1-I a 31-V,0,P-t
96,Málaga,1-I a 31-V,25015,P-t
97,Sevilla,1-I a 31-V,3823,P-t
98,Ceuta,1-I a 31-V,0,P-t
99,Melilla,1-I a 31-V,0,P-t
100,A Coruña,1-VI a 30-IX,160,S-ha
101,Lugo,1-VI a 30-IX,175,S-ha
102,Ourense,1-VI a 30-IX,221,S-ha
103,Pontevedra,1-VI a 30-IX,376,S-ha
104,Asturias,1-VI a 30-IX,96,S-ha
105,Cantabria,1-VI a 30-IX,16,S-ha
106,Araba/Álava,1-VI a 30-IX,54,S-ha
107,Gipuzkoa,1-VI a 30-IX,66,S-ha
108,Bizkaia,1-VI a 30-IX,164,S-ha
109,Navarra,1-VI a 30-IX,2056,S-ha
110,La Rioja,1-VI a 30-IX,170,S-ha
111,Huesca,1-VI a 30-IX,42,S-ha
112,Teruel,1-VI a 30-IX,6,S-ha
113,Zaragoza,1-VI a 30-IX,0,S-ha
114,Barcelona,1-VI a 30-IX,270,S-ha
115,Girona,1-VI a 30-IX,240,S-ha
116,Lleida,1-VI a 30-IX,163,S-ha
117,Tarragona,1-VI a 30-IX,331,S-ha
118,Illes Balears,1-VI a 30-IX,191,S-ha
119,Ávila,1-VI a 30-IX,16,S-ha
120,Burgos,1-VI a 30-IX,3,S-ha
121,León,1-VI a 30-IX,25,S-ha
122,Palencia,1-VI a 30-IX,10,S-ha
123,Salamanca,1-VI a 30-IX,32,S-ha
124,Segovia,1-VI a 30-IX,40,S-ha
125,Soria,1-VI a 30-IX,0,S-ha
126,Valladolid,1-VI a 30-IX,11,S-ha
127,Zamora,1-VI a 30-IX,9,S-ha
128,Madrid,1-VI a 30-IX,50,S-ha
129,Albacete,1-VI a 30-IX,263,S-ha
130,Ciudad Real,1-VI a 30-IX,285,S-ha
131,Cuenca,1-VI a 30-IX,9,S-ha
132,Guadalajara,1-VI a 30-IX,5,S-ha
133,Toledo,1-VI a 30-IX,566,S-ha
134,Alacant/Alicante,1-VI a 30-IX,130,S-ha
135,Castellón/Castelló,1-VI a 30-IX,425,S-ha
136,Valencia/València,1-VI a 30-IX,47,S-ha
137,Murcia,1-VI a 30-IX,574,S-ha
138,Badajoz,1-VI a 30-IX,19823,S-ha
139,Cáceres,1-VI a 30-IX,2630,S-ha
140,Almería,1-VI a 30-IX,1200,S-ha
141,Cádiz,1-VI a 30-IX,570,S-ha
142,Córdoba,1-VI a 30-IX,295,S-ha
143,Granada,1-VI a 30-IX,1919,S-ha
144,Huelva,1-VI a 30-IX,152,S-ha
145,Jaén,1-VI a 30-IX,182,S-ha
146,Málaga,1-VI a 30-IX,345,S-ha
147,Sevilla,1-VI a 30-IX,6450,S-ha
148,Ceuta,1-VI a 30-IX,0,S-ha
149,Melilla,1-VI a 30-IX,0,S-ha
150,A Coruña,1-VI a 30-IX,20875,P-t
151,Lugo,1-VI a 30-IX,14816,P-t
152,Ourense,1-VI a 30-IX,21929,P-t
153,Pontevedra,1-VI a 30-IX,29758,P-t
154,Asturias,1-VI a 30-IX,2360,P-t
155,Cantabria,1-VI a 30-IX,324,P-t
156,Araba/Álava,1-VI a 30-IX,1510,P-t
157,Gipuzkoa,1-VI a 30-IX,1434,P-t
158,Bizkaia,1-VI a 30-IX,4047,P-t
159,Navarra,1-VI a 30-IX,163305,P-t
160,La Rioja,1-VI a 30-IX,12986,P-t
161,Huesca,1-VI a 30-IX,3048,P-t
162,Teruel,1-VI a 30-IX,390,P-t
163,Zaragoza,1-VI a 30-IX,0,P-t
164,Barcelona,1-VI a 30-IX,15003,P-t
165,Girona,1-VI a 30-IX,8686,P-t
166,Lleida,1-VI a 30-IX,5651,P-t
167,Tarragona,1-VI a 30-IX,12530,P-t
168,Illes Balears,1-VI a 30-IX,7162,P-t
169,Ávila,1-VI a 30-IX,1040,P-t
170,Burgos,1-VI a 30-IX,150,P-t
171,León,1-VI a 30-IX,1250,P-t
172,Palencia,1-VI a 30-IX,450,P-t
173,Salamanca,1-VI a 30-IX,1006,P-t
174,Segovia,1-VI a 30-IX,1600,P-t
175,Soria,1-VI a 30-IX,0,P-t
176,Valladolid,1-VI a 30-IX,561,P-t
177,Zamora,1-VI a 30-IX,522,P-t
178,Madrid,1-VI a 30-IX,4625,P-t
179,Albacete,1-VI a 30-IX,24955,P-t
180,Ciudad Real,1-VI a 30-IX,22350,P-t
181,Cuenca,1-VI a 30-IX,405,P-t
182,Guadalajara,1-VI a 30-IX,85,P-t
183,Toledo,1-VI a 30-IX,44190,P-t
184,Alacant/Alicante,1-VI a 30-IX,4550,P-t
185,Castellón/Castelló,1-VI a 30-IX,15289,P-t
186,Valencia/València,1-VI a 30-IX,2681,P-t
187,Murcia,1-VI a 30-IX,33650,P-t
188,Badajoz,1-VI a 30-IX,1727297,P-t
189,Cáceres,1-VI a 30-IX,226633,P-t
190,Almería,1-VI a 30-IX,78781,P-t
191,Cádiz,1-VI a 30-IX,34087,P-t
192,Córdoba,1-VI a 30-IX,10483,P-t
193,Granada,1-VI a 30-IX,147275,P-t
194,Huelva,1-VI a 30-IX,6416,P-t
195,Jaén,1-VI a 30-IX,7500,P-t
196,Málaga,1-VI a 30-IX,23184,P-t
197,Sevilla,1-VI a 30-IX,500000,P-t
198,Ceuta,1-VI a 30-IX,0,P-t
199,Melilla,1-VI a 30-IX,0,P-t
200,A Coruña,1-X a 31-XII,7,S-ha
201,Lugo,1-X a 31-XII,2,S-ha
202,Ourense,1-X a 31-XII,3,S-ha
203,Pontevedra,1-X a 31-XII,8,S-ha
204,Asturias,1-X a 31-XII,0,S-ha
205,Cantabria,1-X a 31-XII,0,S-ha
206,Araba/Álava,1-X a 31-XII,0,S-ha
207,Gipuzkoa,1-X a 31-XII,4,S-ha
208,Bizkaia,1-X a 31-XII,0,S-ha
209,Navarra,1-X a 31-XII,0,S-ha
210,La Rioja,1-X a 31-XII,0,S-ha
211,Huesca,1-X a 31-XII,9,S-ha
212,Teruel,1-X a 31-XII,0,S-ha
213,Zaragoza,1-X a 31-XII,641,S-ha
214,Barcelona,1-X a 31-XII,40,S-ha
215,Girona,1-X a 31-XII,0,S-ha
216,Lleida,1-X a 31-XII,38,S-ha
217,Tarragona,1-X a 31-XII,37,S-ha
218,Illes Balears,1-X a 31-XII,51,S-ha
219,Ávila,1-X a 31-XII,0,S-ha
220,Burgos,1-X a 31-XII,0,S-ha
221,León,1-X a 31-XII,0,S-ha
222,Palencia,1-X a 31-XII,0,S-ha
223,Salamanca,1-X a 31-XII,3,S-ha
224,Segovia,1-X a 31-XII,0,S-ha
225,Soria,1-X a 31-XII,0,S-ha
226,Valladolid,1-X a 31-XII,0,S-ha
227,Zamora,1-X a 31-XII,0,S-ha
228,Madrid,1-X a 31-XII,5,S-ha
229,Albacete,1-X a 31-XII,0,S-ha
230,Ciudad Real,1-X a 31-XII,0,S-ha
231,Cuenca,1-X a 31-XII,0,S-ha
232,Guadalajara,1-X a 31-XII,0,S-ha
233,Toledo,1-X a 31-XII,0,S-ha
234,Alacant/Alicante,1-X a 31-XII,267,S-ha
235,Castellón/Castelló,1-X a 31-XII,70,S-ha
236,Valencia/València,1-X a 31-XII,93,S-ha
237,Murcia,1-X a 31-XII,902,S-ha
238,Badajoz,1-X a 31-XII,0,S-ha
239,Cáceres,1-X a 31-XII,0,S-ha
240,Almería,1-X a 31-XII,2145,S-ha
241,Cádiz,1-X a 31-XII,185,S-ha
242,Córdoba,1-X a 31-XII,0,S-ha
243,Granada,1-X a 31-XII,1019,S-ha
244,Huelva,1-X a 31-XII,15,S-ha
245,Jaén,1-X a 31-XII,0,S-ha
246,Málaga,1-X a 31-XII,201,S-ha
247,Sevilla,1-X a 31-XII,30,S-ha
248,Ceuta,1-X a 31-XII,0,S-ha
249,Melilla,1-X a 31-XII,0,S-ha
250,A Coruña,1-X a 31-XII,576,P-t
251,Lugo,1-X a 31-XII,178,P-t
252,Ourense,1-X a 31-XII,300,P-t
253,Pontevedra,1-X a 31-XII,669,P-t
254,Asturias,1-X a 31-XII,0,P-t
255,Cantabria,1-X a 31-XII,0,P-t
256,Araba/Álava,1-X a 31-XII,0,P-t
257,Gipuzkoa,1-X a 31-XII,229,P-t
258,Bizkaia,1-X a 31-XII,0,P-t
259,Navarra,1-X a 31-XII,0,P-t
260,La Rioja,1-X a 31-XII,0,P-t
261,Huesca,1-X a 31-XII,653,P-t
262,Teruel,1-X a 31-XII,0,P-t
263,Zaragoza,1-X a 31-XII,47452,P-t
264,Barcelona,1-X a 31-XII,2223,P-t
265,Girona,1-X a 31-XII,0,P-t
266,Lleida,1-X a 31-XII,1413,P-t
267,Tarragona,1-X a 31-XII,1295,P-t
268,Illes Balears,1-X a 31-XII,1924,P-t
269,Ávila,1-X a 31-XII,0,P-t
270,Burgos,1-X a 31-XII,0,P-t
271,León,1-X a 31-XII,0,P-t
272,Palencia,1-X a 31-XII,0,P-t
273,Salamanca,1-X a 31-XII,114,P-t
274,Segovia,1-X a 31-XII,0,P-t
275,Soria,1-X a 31-XII,0,P-t
276,Valladolid,1-X a 31-XII,0,P-t
277,Zamora,1-X a 31-XII,0,P-t
278,Madrid,1-X a 31-XII,462,P-t
279,Albacete,1-X a 31-XII,0,P-t
280,Ciudad Real,1-X a 31-XII,0,P-t
281,Cuenca,1-X a 31-XII,0,P-t
282,Guadalajara,1-X a 31-XII,0,P-t
283,Toledo,1-X a 31-XII,0,P-t
284,Alacant/Alicante,1-X a 31-XII,34710,P-t
285,Castellón/Castelló,1-X a 31-XII,2044,P-t
286,Valencia/València,1-X a 31-XII,3767,P-t
287,Murcia,1-X a 31-XII,41782,P-t
288,Badajoz,1-X a 31-XII,0,P-t
289,Cáceres,1-X a 31-XII,0,P-t
290,Almería,1-X a 31-XII,246189,P-t
291,Cádiz,1-X a 31-XII,6700,P-t
292,Córdoba,1-X a 31-XII,0,P-t
293,Granada,1-X a 31-XII,107683,P-t
294,Huelva,1-X a 31-XII,375,P-t
295,Jaén,1-X a 31-XII,0,P-t
296,Málaga,1-X a 31-XII,12812,P-t
297,Sevilla,1-X a 31-XII,2550,P-t
298,Ceuta,1-X a 31-XII,0,P-t
299,Melilla,1-X a 31-XII,0,P-t
